ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.54;323;413;94278;11:44:07.948468
0.57;316;406;96972;11:44:10.643074
0.54;317;406;97017;11:44:10.687926
0.56;317;406;97065;11:44:10.735643
0.56;317;406;97109;11:44:10.780856
0.56;317;406;97155;11:44:10.826105
0.54;318;408;97194;11:44:10.865902
0.52;320;409;97239;11:44:10.910553
0.54;319;409;97282;11:44:10.952681
0.52;320;409;97326;11:44:10.996665
0.54;319;409;97361;11:44:11.031936
0.54;319;409;97407;11:44:11.077662
0.55;319;409;97453;11:44:11.124624
0.55;319;409;97497;11:44:11.168358
0.56;317;407;97540;11:44:11.210792
0.59;315;404;97588;11:44:11.259011
0.61;314;404;97631;11:44:11.302580
0.61;314;404;97679;11:44:11.350345
0.59;315;405;97724;11:44:11.394816
0.55;317;406;97765;11:44:11.437112
