ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.57;314;406;324649;11:47:58.323226
0.56;315;408;327895;11:48:01.569718
0.54;315;408;327949;11:48:01.624439
0.54;315;408;328000;11:48:01.674994
0.56;315;408;328059;11:48:01.733657
0.54;315;408;328121;11:48:01.795823
0.52;318;410;328225;11:48:01.899611
0.52;318;410;328284;11:48:01.959478
0.54;317;410;328336;11:48:02.010485
0.52;318;411;328388;11:48:02.063161
0.52;318;411;328437;11:48:02.111876
0.52;318;410;328490;11:48:02.164952
0.52;318;410;328550;11:48:02.224585
