ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.56;312;403;152801;11:45:06.473690
0.56;313;404;155686;11:45:09.358137
0.56;313;405;155757;11:45:09.429447
0.56;313;404;155812;11:45:09.484368
0.56;313;405;155861;11:45:09.533682
0.56;313;404;155899;11:45:09.570597
0.56;313;405;155936;11:45:09.608445
0.56;313;405;155972;11:45:09.644631
0.59;311;402;156010;11:45:09.681330
0.61;310;401;156046;11:45:09.718406
0.61;310;401;156085;11:45:09.757237
0.6;310;401;156121;11:45:09.793188
0.56;312;403;156156;11:45:09.828239
0.53;316;407;156194;11:45:09.865392
0.53;316;408;156241;11:45:09.913092
0.51;316;408;156279;11:45:09.951332
0.51;316;407;156310;11:45:09.982293
0.51;316;407;156342;11:45:10.013808
0.51;316;407;156377;11:45:10.049369
0.51;316;407;156420;11:45:10.092403
0.51;316;407;156446;11:45:10.117907
0.51;316;407;156490;11:45:10.162197
0.51;316;407;156524;11:45:10.196843
0.51;316;407;156558;11:45:10.229482
0.51;316;408;156586;11:45:10.259132
0.51;316;407;156627;11:45:10.299022
0.51;316;407;156652;11:45:10.323950
0.51;316;407;156694;11:45:10.366109
0.51;316;407;156721;11:45:10.393106
0.51;316;407;156753;11:45:10.425177
0.5;316;407;156805;11:45:10.477092
0.51;316;407;156862;11:45:10.533760
0.51;316;407;156939;11:45:10.610711
0.5;316;407;157000;11:45:10.671516
0.5;316;407;157065;11:45:10.737595
