ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.59;310;401;128719;11:44:42.390696
0.55;314;405;131808;11:44:45.480379
0.55;314;405;131852;11:44:45.523516
0.55;314;405;131886;11:44:45.558199
0.55;314;405;131917;11:44:45.588673
0.55;314;405;131950;11:44:45.621564
0.55;314;405;131984;11:44:45.656366
0.55;314;405;132020;11:44:45.692030
0.55;314;405;132059;11:44:45.730365
0.55;314;406;132094;11:44:45.765516
0.51;317;408;132133;11:44:45.805171
0.51;317;408;132172;11:44:45.844609
0.51;317;408;132223;11:44:45.894149
0.51;317;408;132264;11:44:45.935370
0.53;316;407;132300;11:44:45.972511
0.61;311;403;132334;11:44:46.006077
0.59;311;402;132368;11:44:46.039882
0.6;311;402;132403;11:44:46.074399
0.59;311;402;132440;11:44:46.112327
0.6;311;402;132472;11:44:46.144362
0.59;311;402;132507;11:44:46.178440
0.59;311;402;132541;11:44:46.213124
0.6;311;402;132570;11:44:46.242287
0.59;311;402;132630;11:44:46.301725
0.59;311;402;132668;11:44:46.339444
0.58;311;402;132708;11:44:46.379345
0.59;311;402;132747;11:44:46.418405
0.59;311;402;132780;11:44:46.451148
0.61;310;402;132815;11:44:46.487344
0.61;310;401;132850;11:44:46.521861
0.61;310;402;132883;11:44:46.554019
0.61;310;402;132922;11:44:46.594230
0.61;310;402;132958;11:44:46.630213
0.61;310;402;132994;11:44:46.665248
0.61;310;402;133036;11:44:46.708290
0.61;310;402;133074;11:44:46.746087
0.61;310;402;133119;11:44:46.791313
0.61;310;401;133159;11:44:46.831188
0.6;310;401;133195;11:44:46.866148
0.61;310;401;133228;11:44:46.900501
0.61;310;401;133261;11:44:46.933749
0.6;310;401;133295;11:44:46.967432
0.6;310;401;133329;11:44:47.001511
0.61;310;401;133367;11:44:47.038581
0.59;311;402;133403;11:44:47.074270
0.52;315;407;133440;11:44:47.112321
0.53;316;408;133515;11:44:47.186373
0.54;316;408;133569;11:44:47.241190
0.54;316;408;133645;11:44:47.316671
0.51;316;408;133724;11:44:47.396052
0.52;316;408;133794;11:44:47.465812
0.52;316;408;133852;11:44:47.523149
