ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.55;315;406;552853;11:51:46.530868
0.55;316;407;555232;11:51:48.909904
0.53;316;407;555265;11:51:48.941933
0.56;315;407;555293;11:51:48.969969
0.57;315;407;555333;11:51:49.010336
0.53;316;407;555359;11:51:49.036367
0.53;316;407;555392;11:51:49.069693
0.55;316;407;555435;11:51:49.112897
0.56;315;407;555458;11:51:49.134866
0.6;313;405;555499;11:51:49.176390
0.6;313;405;555525;11:51:49.202020
0.59;313;405;555567;11:51:49.244952
0.59;313;405;555593;11:51:49.270904
0.59;313;405;555629;11:51:49.306846
