ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.57;316;405;648650;11:53:22.328683
0.56;319;409;651186;11:53:24.864524
0.55;319;409;651236;11:53:24.914784
0.56;319;409;651287;11:53:24.965644
0.55;319;408;651328;11:53:25.007353
0.55;319;409;651370;11:53:25.049451
0.55;319;409;651410;11:53:25.088909
0.55;319;409;651435;11:53:25.113502
0.55;319;409;651476;11:53:25.154366
0.53;321;411;651513;11:53:25.192422
0.51;322;411;651549;11:53:25.227362
0.51;322;412;651584;11:53:25.263586
0.51;322;412;651621;11:53:25.299455
0.53;321;411;651660;11:53:25.338416
0.59;316;406;651697;11:53:25.375582
0.6;316;406;651730;11:53:25.408390
0.6;316;406;651765;11:53:25.443299
0.6;316;406;651801;11:53:25.480255
0.6;315;404;651838;11:53:25.516630
0.6;315;404;651876;11:53:25.554645
0.6;315;404;651916;11:53:25.595118
