ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.49;317;408;160841;11:45:14.513258
0.54;314;405;163878;11:45:17.550980
0.56;313;405;163927;11:45:17.599270
0.56;313;404;163979;11:45:17.651483
0.56;313;405;164028;11:45:17.700536
0.56;313;404;164079;11:45:17.751465
0.56;313;404;164126;11:45:17.798472
0.56;313;404;164177;11:45:17.849535
0.56;313;404;164228;11:45:17.900097
0.59;311;402;164284;11:45:17.956267
0.59;311;402;164345;11:45:18.017196
0.54;315;407;164401;11:45:18.073285
0.5;317;409;164452;11:45:18.124008
0.51;317;408;164495;11:45:18.167313
0.51;317;408;164546;11:45:18.218265
0.51;317;408;164594;11:45:18.267057
