ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.49;320;406;635421;11:53:09.099663
0.57;316;405;638269;11:53:11.947074
0.57;316;405;638301;11:53:11.979466
0.57;316;405;638334;11:53:12.011951
0.57;316;405;638371;11:53:12.049826
0.57;316;405;638400;11:53:12.077751
0.57;316;405;638440;11:53:12.118885
0.57;316;405;638484;11:53:12.163077
0.57;316;405;638522;11:53:12.199904
0.6;313;402;638557;11:53:12.234968
0.57;314;402;638591;11:53:12.269616
0.57;314;402;638631;11:53:12.310156
0.6;313;401;638665;11:53:12.342865
0.57;314;402;638696;11:53:12.374195
0.57;314;402;638728;11:53:12.405722
0.58;314;402;638767;11:53:12.446193
0.6;313;401;638816;11:53:12.494874
0.6;313;401;638859;11:53:12.537779
0.6;313;401;638898;11:53:12.577157
0.6;313;401;638937;11:53:12.614943
0.6;313;401;638973;11:53:12.651282
0.61;313;401;639010;11:53:12.688782
0.6;313;401;639047;11:53:12.724937
0.5;317;401;639082;11:53:12.761069
0.53;316;402;639118;11:53:12.795833
0.56;315;402;639151;11:53:12.829963
0.61;313;401;639187;11:53:12.865244
0.58;314;401;639222;11:53:12.901234
0.59;314;402;639263;11:53:12.941315
0.59;314;402;639304;11:53:12.982857
0.59;314;402;639346;11:53:13.025192
0.59;314;402;639386;11:53:13.064983
0.6;314;403;639426;11:53:13.104752
0.6;314;403;639460;11:53:13.139027
0.6;314;403;639499;11:53:13.178126
0.6;314;403;639531;11:53:13.209931
0.57;315;403;639570;11:53:13.247850
0.6;314;403;639608;11:53:13.287260
0.57;315;403;639644;11:53:13.322218
0.6;314;403;639678;11:53:13.357237
0.57;315;403;639713;11:53:13.392165
0.6;314;402;639755;11:53:13.434093
0.6;314;402;639785;11:53:13.463830
0.6;314;402;639831;11:53:13.508977
0.63;313;402;639868;11:53:13.546692
0.61;313;402;639904;11:53:13.583191
0.61;313;402;639937;11:53:13.615596
0.61;313;402;639979;11:53:13.658154
0.61;313;402;640019;11:53:13.696839
0.61;313;402;640054;11:53:13.733416
0.6;313;402;640093;11:53:13.771092
