ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.56;314;405;488553;11:50:42.230248
0.55;315;406;490709;11:50:44.384992
0.56;314;405;490760;11:50:44.436534
0.56;314;405;490807;11:50:44.484438
0.56;314;405;490856;11:50:44.532859
0.56;314;405;490903;11:50:44.580099
0.59;313;404;490953;11:50:44.629942
0.6;312;403;490999;11:50:44.676488
0.6;312;404;491044;11:50:44.721585
0.59;312;403;491087;11:50:44.763846
0.6;312;403;491111;11:50:44.786917
0.6;312;403;491153;11:50:44.829476
0.6;312;403;491188;11:50:44.864268
0.6;312;403;491219;11:50:44.895454
