ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.55;316;407;524099;11:51:17.776656
0.56;314;406;527444;11:51:21.121278
0.56;314;406;527478;11:51:21.154868
0.56;314;406;527511;11:51:21.187523
0.56;314;406;527544;11:51:21.221814
0.56;314;406;527578;11:51:21.254584
0.56;314;406;527618;11:51:21.294541
0.56;314;406;527654;11:51:21.330967
0.56;314;406;527690;11:51:21.367076
0.56;314;406;527721;11:51:21.398134
0.6;312;404;527754;11:51:21.431518
0.61;311;403;527792;11:51:21.469853
0.62;311;403;527818;11:51:21.495798
0.61;311;403;527857;11:51:21.533473
0.63;311;403;527887;11:51:21.563918
0.63;311;403;527926;11:51:21.603420
0.6;312;403;527954;11:51:21.631505
0.6;312;403;527989;11:51:21.665863
0.6;312;403;528021;11:51:21.697770
0.6;312;403;528051;11:51:21.728844
0.63;311;404;528092;11:51:21.768489
0.61;312;404;528117;11:51:21.794509
0.6;312;404;528154;11:51:21.830735
0.64;311;404;528187;11:51:21.863622
0.61;312;404;528219;11:51:21.895840
0.61;312;404;528259;11:51:21.936382
0.61;312;404;528290;11:51:21.967519
0.61;312;404;528324;11:51:22.001569
0.61;312;404;528354;11:51:22.030813
0.61;312;404;528390;11:51:22.066897
0.61;312;404;528426;11:51:22.102993
0.61;312;404;528460;11:51:22.137461
0.59;313;404;528500;11:51:22.176966
0.59;313;404;528535;11:51:22.211993
0.63;312;405;528573;11:51:22.249794
0.61;312;404;528605;11:51:22.281931
0.61;312;404;528641;11:51:22.318276
0.61;312;404;528674;11:51:22.351798
0.63;312;405;528709;11:51:22.385471
0.6;313;404;528743;11:51:22.420453
0.6;313;405;528775;11:51:22.452224
0.61;313;405;528816;11:51:22.492990
0.64;312;404;528849;11:51:22.525914
0.63;312;405;528878;11:51:22.555655
0.64;312;405;528921;11:51:22.598636
0.61;313;405;528954;11:51:22.630808
0.6;313;405;528988;11:51:22.665078
0.58;314;406;529022;11:51:22.698946
0.54;318;409;529053;11:51:22.730482
0.51;319;410;529089;11:51:22.765822
0.51;319;410;529132;11:51:22.809831
0.52;319;410;529167;11:51:22.844523
0.52;319;410;529199;11:51:22.876307
0.52;319;410;529232;11:51:22.908576
0.54;318;410;529269;11:51:22.946125
0.54;318;410;529304;11:51:22.980944
0.53;318;410;529349;11:51:23.026912
0.54;317;409;529392;11:51:23.069810
