ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.54;315;406;505579;11:50:59.255313
0.57;315;407;507541;11:51:01.217605
0.57;315;407;507577;11:51:01.254027
0.58;315;407;507614;11:51:01.291215
0.56;315;407;507643;11:51:01.319573
0.57;315;407;507683;11:51:01.360529
0.57;315;407;507715;11:51:01.391459
0.57;315;407;507744;11:51:01.421341
0.57;315;407;507786;11:51:01.462271
0.57;315;407;507812;11:51:01.489258
0.56;315;407;507855;11:51:01.531499
0.56;315;407;507881;11:51:01.557418
0.59;313;405;507917;11:51:01.593977
0.61;312;404;507953;11:51:01.630401
0.6;312;404;507980;11:51:01.656532
0.6;312;404;508012;11:51:01.689390
0.6;312;404;508055;11:51:01.731580
0.6;312;404;508078;11:51:01.754553
0.6;312;404;508121;11:51:01.797325
0.6;312;404;508145;11:51:01.821891
0.6;312;403;508187;11:51:01.864306
0.58;313;405;508214;11:51:01.891055
