ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.49;320;414;606669;11:52:40.347448
0.57;315;410;609685;11:52:43.362919
0.57;315;409;609728;11:52:43.406096
0.57;314;408;609762;11:52:43.439621
0.57;314;408;609794;11:52:43.472514
0.58;314;408;609828;11:52:43.506484
0.59;313;408;609862;11:52:43.540922
0.57;314;408;609892;11:52:43.570853
0.57;314;408;609934;11:52:43.612808
0.57;314;408;609966;11:52:43.644585
0.61;312;406;610001;11:52:43.679884
0.62;312;406;610037;11:52:43.714935
0.62;312;406;610071;11:52:43.748842
0.62;312;406;610105;11:52:43.783420
0.62;312;406;610137;11:52:43.814998
0.62;312;407;610174;11:52:43.851573
0.6;313;407;610207;11:52:43.884442
0.6;313;407;610246;11:52:43.924561
0.6;313;407;610287;11:52:43.965788
0.6;313;407;610324;11:52:44.001491
0.54;316;410;610367;11:52:44.044706
