ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.53;319;413;348797;11:48:22.472280
0.57;315;410;351480;11:48:25.154738
0.57;315;410;351542;11:48:25.216912
0.57;315;410;351597;11:48:25.271856
0.55;316;410;351629;11:48:25.304484
0.56;316;410;351676;11:48:25.350686
0.55;316;410;351718;11:48:25.392687
0.54;318;412;351760;11:48:25.435733
0.51;319;413;351803;11:48:25.478540
0.5;319;413;351845;11:48:25.519914
0.51;319;413;351890;11:48:25.564580
0.55;317;412;351975;11:48:25.649986
