ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.61;311;405;288386;11:47:22.060964
0.55;316;409;290431;11:47:24.105349
0.58;315;409;290516;11:47:24.190143
0.58;315;409;290568;11:47:24.242430
0.56;315;409;290624;11:47:24.298355
0.58;315;410;290677;11:47:24.351980
0.57;314;407;290730;11:47:24.404083
0.57;314;407;290780;11:47:24.454289
0.57;314;407;290848;11:47:24.522737
0.6;312;405;290905;11:47:24.578985
0.6;312;406;290958;11:47:24.633052
0.6;312;405;291009;11:47:24.683587
0.6;312;406;291059;11:47:24.732946
0.55;315;409;291107;11:47:24.781526
0.56;315;409;291159;11:47:24.833413
