ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.55;314;406;142454;11:44:56.125644
0.55;314;405;144631;11:44:58.302643
0.55;314;405;144668;11:44:58.339644
0.55;314;405;144705;11:44:58.377343
0.55;314;405;144738;11:44:58.409522
0.55;314;405;144770;11:44:58.441663
0.55;314;405;144804;11:44:58.476718
0.53;314;405;144841;11:44:58.513408
0.54;314;405;144874;11:44:58.545561
0.54;314;405;144907;11:44:58.579239
0.56;313;404;144941;11:44:58.612436
0.53;314;405;144975;11:44:58.646506
0.54;314;405;145010;11:44:58.682412
0.55;314;405;145044;11:44:58.716396
0.53;314;405;145075;11:44:58.746787
0.55;315;407;145122;11:44:58.794034
0.51;317;408;145168;11:44:58.839550
0.51;317;408;145204;11:44:58.875812
0.52;317;408;145242;11:44:58.914305
0.51;317;408;145274;11:44:58.946355
0.51;317;408;145311;11:44:58.982762
0.51;317;408;145346;11:44:59.018591
0.54;314;405;145384;11:44:59.055779
0.61;310;401;145423;11:44:59.095696
0.6;310;401;145456;11:44:59.128455
0.6;310;401;145494;11:44:59.165625
0.58;310;401;145539;11:44:59.210743
0.56;311;402;145585;11:44:59.256628
0.54;314;404;145621;11:44:59.293293
0.52;314;404;145664;11:44:59.336382
0.54;314;405;145697;11:44:59.369303
