ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.55;314;405;473373;11:50:27.049983
0.56;314;405;476317;11:50:29.993609
0.56;314;405;476351;11:50:30.028224
0.55;314;405;476385;11:50:30.061948
0.56;314;405;476424;11:50:30.100850
0.55;314;405;476463;11:50:30.139540
0.55;314;405;476496;11:50:30.172320
0.56;314;405;476529;11:50:30.204919
0.56;314;405;476561;11:50:30.237350
0.56;314;405;476596;11:50:30.272468
0.55;314;405;476628;11:50:30.304293
0.6;311;403;476667;11:50:30.342961
0.58;312;403;476704;11:50:30.380659
0.57;312;403;476731;11:50:30.407734
0.57;312;403;476772;11:50:30.449042
0.6;311;403;476804;11:50:30.479941
0.6;311;403;476834;11:50:30.510953
0.6;311;403;476865;11:50:30.541218
0.6;311;402;476904;11:50:30.580873
0.6;311;402;476930;11:50:30.606387
0.6;311;402;476973;11:50:30.649914
0.6;311;402;476997;11:50:30.672865
0.6;311;402;477035;11:50:30.710886
0.58;313;404;477074;11:50:30.750170
0.56;313;404;477098;11:50:30.774314
0.56;313;404;477140;11:50:30.815922
0.56;313;404;477167;11:50:30.843953
