ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.56;315;407;428893;11:49:42.569571
0.56;313;405;432170;11:49:45.845836
0.55;314;405;432209;11:49:45.885725
0.55;314;405;432264;11:49:45.940655
0.56;314;405;432313;11:49:45.989074
0.57;313;405;432356;11:49:46.032493
0.58;313;405;432385;11:49:46.060498
0.58;313;405;432426;11:49:46.101791
0.59;312;404;432460;11:49:46.136772
0.57;312;402;432492;11:49:46.168204
0.6;311;402;432531;11:49:46.206619
0.6;311;403;432568;11:49:46.243628
0.58;312;402;432603;11:49:46.278559
0.6;311;402;432637;11:49:46.312960
0.6;311;402;432682;11:49:46.357820
0.6;311;403;432749;11:49:46.424747
0.58;312;403;432838;11:49:46.514014
0.58;312;403;432888;11:49:46.564773
0.58;312;403;432940;11:49:46.616021
