ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.54;318;409;315648;11:47:49.322265
0.52;319;410;318320;11:47:51.994301
0.56;318;410;318372;11:47:52.046890
0.54;319;410;318424;11:47:52.098141
0.54;319;411;318474;11:47:52.148353
0.54;319;411;318538;11:47:52.212540
0.52;321;412;318596;11:47:52.271041
0.52;321;412;318638;11:47:52.312542
0.52;322;413;318671;11:47:52.345524
0.51;322;413;318719;11:47:52.393422
0.5;322;413;318762;11:47:52.436553
0.52;321;412;318796;11:47:52.471129
0.53;321;412;318828;11:47:52.502256
0.53;321;412;318880;11:47:52.554626
0.53;321;412;318920;11:47:52.594592
0.52;321;412;318951;11:47:52.625564
0.53;321;412;318988;11:47:52.662194
0.53;321;412;319025;11:47:52.700126
0.53;321;412;319064;11:47:52.738024
0.52;321;412;319100;11:47:52.773964
0.53;321;412;319137;11:47:52.811841
0.53;321;412;319174;11:47:52.849289
0.52;321;412;319208;11:47:52.882766
0.52;321;412;319233;11:47:52.908389
0.52;321;412;319276;11:47:52.950086
0.53;321;412;319301;11:47:52.975091
0.52;321;412;319335;11:47:53.009868
0.53;321;412;319377;11:47:53.051287
0.52;321;412;319407;11:47:53.082318
0.52;321;412;319456;11:47:53.130487
0.53;321;412;319510;11:47:53.185397
0.53;321;413;319575;11:47:53.249385
0.53;321;412;319628;11:47:53.302403
0.53;321;412;319683;11:47:53.357852
0.53;321;413;319732;11:47:53.406895
0.5;322;412;319799;11:47:53.473776
0.53;321;412;319858;11:47:53.532498
0.53;321;412;319915;11:47:53.589803
0.53;321;412;319967;11:47:53.641789
