ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.61;309;401;449867;11:50:03.543265
0.56;314;406;452487;11:50:06.163720
0.55;314;405;452544;11:50:06.220479
0.55;314;405;452622;11:50:06.299110
0.56;314;406;452681;11:50:06.357424
0.56;314;406;452737;11:50:06.412979
0.59;313;405;452793;11:50:06.470115
0.56;313;404;452845;11:50:06.520939
0.59;312;404;452895;11:50:06.571927
0.6;311;403;452947;11:50:06.623056
0.59;311;403;453003;11:50:06.679554
0.59;311;402;453056;11:50:06.731921
0.59;311;402;453090;11:50:06.765437
0.61;310;402;453127;11:50:06.803899
0.59;311;402;453163;11:50:06.838802
