ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.47;319;411;580875;11:52:14.552488
0.54;313;406;583775;11:52:17.453600
0.54;313;405;583836;11:52:17.513327
0.54;313;405;583889;11:52:17.566570
0.54;313;405;583974;11:52:17.651546
0.54;313;405;584038;11:52:17.716240
0.54;313;405;584135;11:52:17.812472
0.56;313;405;584190;11:52:17.868529
0.59;311;404;584240;11:52:17.917805
0.61;310;402;584312;11:52:17.989964
0.61;310;402;584369;11:52:18.046955
0.59;310;402;584416;11:52:18.094114
0.59;310;402;584476;11:52:18.153333
0.61;309;401;584528;11:52:18.206754
0.61;309;401;584582;11:52:18.259127
0.61;309;401;584654;11:52:18.331546
0.59;309;401;584709;11:52:18.386220
0.61;309;401;584759;11:52:18.437424
0.61;309;401;584809;11:52:18.487721
0.62;309;401;584871;11:52:18.549120
0.62;309;401;584937;11:52:18.614393
0.62;309;401;585002;11:52:18.680113
0.62;309;402;585046;11:52:18.723328
0.61;309;401;585082;11:52:18.759668
0.62;309;401;585115;11:52:18.792644
0.56;312;405;585158;11:52:18.836647
0.52;316;408;585199;11:52:18.876361
0.52;316;408;585235;11:52:18.912812
0.5;316;408;585275;11:52:18.953318
0.5;316;408;585315;11:52:18.992912
0.5;316;408;585353;11:52:19.030910
0.5;316;408;585392;11:52:19.069872
0.52;316;408;585434;11:52:19.111862
0.52;316;408;585466;11:52:19.144239
0.53;316;409;585498;11:52:19.176001
0.55;313;406;585538;11:52:19.216483
0.54;313;406;585567;11:52:19.243967
0.54;313;405;585607;11:52:19.284800
0.54;313;406;585633;11:52:19.310658
0.54;313;405;585674;11:52:19.352133
0.56;312;405;585704;11:52:19.381745
0.54;313;405;585740;11:52:19.417795
0.57;312;405;585769;11:52:19.446750
0.55;312;405;585808;11:52:19.485616
0.54;312;405;585837;11:52:19.514522
0.54;312;405;585871;11:52:19.548416
0.54;312;404;585910;11:52:19.587708
0.54;312;405;585936;11:52:19.613695
0.54;312;405;585978;11:52:19.655922
0.54;312;404;586003;11:52:19.681428
0.54;312;405;586036;11:52:19.713443
0.54;312;405;586073;11:52:19.751296
0.55;312;405;586102;11:52:19.779908
0.54;312;405;586137;11:52:19.814721
0.57;312;405;586174;11:52:19.852258
0.54;312;405;586202;11:52:19.879853
