trial;more_rewarded_color;stimulus_choice;blue_position;orange_position;left_img_name;right_img_name;location_choice;keyboard_input;orange_reward;blue_reward;outcome;start_reaction_time;end_reaction_time;start_absolute_time;end_absolute_time
76;blue;blue;1;2;orange_1;blue_4;right;l;1;0;noeuro;384280;385158;11:48:57.955457;11:48:58.833547
77;blue;orange;1;2;orange_2;blue_5;left;a;0;1;noeuro;388299;389145;11:49:01.974604;11:49:02.820422
78;blue;orange;1;2;orange_6;blue_7;left;a;0;1;noeuro;391045;393492;11:49:04.720415;11:49:07.167641
79;blue;blue;1;2;orange_6;blue_8;right;l;0;1;euro;395969;396761;11:49:09.645008;11:49:10.437194
80;blue;blue;1;2;orange_9;blue_1;right;l;0;1;euro;399514;402818;11:49:13.189237;11:49:16.494181
81;blue;blue;1;2;orange_3;blue_2;right;l;0;1;euro;406051;407777;11:49:19.726967;11:49:21.452590
82;blue;blue;2;1;blue_3;orange_3;left;a;0;1;euro;409783;410987;11:49:23.458712;11:49:24.663347
83;blue;blue;2;1;blue_6;orange_5;left;a;0;1;euro;413497;414561;11:49:27.172733;11:49:28.236729
84;blue;blue;2;1;blue_8;orange_2;left;a;1;0;noeuro;417007;418574;11:49:30.682487;11:49:32.250480
85;blue;blue;2;1;blue_7;orange_4;left;a;0;1;euro;420648;421988;11:49:34.322805;11:49:35.663586
86;blue;blue;2;1;blue_9;orange_6;left;a;1;0;noeuro;424572;425260;11:49:38.248186;11:49:38.935182
87;blue;blue;2;1;blue_3;orange_7;left;a;0;1;euro;427639;428867;11:49:41.315208;11:49:42.543083
88;blue;blue;1;2;orange_5;blue_6;right;l;0;1;euro;432121;432969;11:49:45.797783;11:49:46.644607
89;blue;blue;2;1;blue_1;orange_4;left;a;0;1;euro;435023;435977;11:49:48.698764;11:49:49.653362
90;blue;blue;1;2;orange_5;blue_3;right;l;0;1;euro;438926;439773;11:49:52.602070;11:49:53.449486
91;blue;blue;2;1;blue_4;orange_2;left;a;0;1;euro;442065;442679;11:49:55.741821;11:49:56.355707
92;blue;blue;2;1;blue_4;orange_1;left;a;0;1;euro;446016;446606;11:49:59.691968;11:50:00.282149
93;blue;blue;1;2;orange_2;blue_5;right;l;1;0;noeuro;449002;449838;11:50:02.677646;11:50:03.514142
94;blue;blue;1;2;orange_6;blue_6;right;l;0;1;euro;452425;453179;11:50:06.100892;11:50:06.854966
95;blue;blue;1;2;orange_1;blue_6;right;l;0;1;euro;456478;459191;11:50:10.153663;11:50:12.868004
96;blue;blue;2;1;blue_3;orange_6;left;a;0;1;euro;462402;464056;11:50:16.078920;11:50:17.731745
97;blue;blue;1;2;orange_2;blue_6;right;l;0;1;euro;466661;469721;11:50:20.337629;11:50:23.397267
98;blue;blue;2;1;blue_3;orange_7;left;a;0;1;euro;472346;473341;11:50:26.022402;11:50:27.018271
99;blue;blue;1;2;orange_6;blue_7;right;l;0;1;euro;476279;477191;11:50:29.954929;11:50:30.868006
100;blue;blue;2;1;blue_6;orange_9;left;a;0;1;euro;480043;480515;11:50:33.719581;11:50:34.190941
