trial;more_rewarded_color;stimulus_choice;blue_position;orange_position;left_img_name;right_img_name;location_choice;keyboard_input;orange_reward;blue_reward;outcome;start_reaction_time;end_reaction_time;start_absolute_time;end_absolute_time
101;orange;blue;1;2;orange_2;blue_5;right;l;1;0;noeuro;482594;484839;11:50:36.271161;11:50:38.515307
102;orange;orange;2;1;blue_5;orange_9;right;l;1;0;euro;487492;488529;11:50:41.168602;11:50:42.205638
103;orange;orange;2;1;blue_6;orange_5;right;l;1;0;euro;490622;491238;11:50:44.299490;11:50:44.915056
104;orange;orange;1;2;orange_1;blue_6;left;a;1;0;euro;493301;494414;11:50:46.978273;11:50:48.090194
105;orange;orange;1;2;orange_2;blue_5;left;a;1;0;euro;496307;497006;11:50:49.984153;11:50:50.682804
106;orange;orange;1;2;orange_3;blue_7;left;a;1;0;euro;499269;499844;11:50:52.946172;11:50:53.520862
107;orange;orange;1;2;orange_9;blue_4;left;a;1;0;euro;503212;505557;11:50:56.889728;11:50:59.234327
108;orange;orange;2;1;blue_9;orange_6;right;l;1;0;euro;507513;508237;11:51:01.189369;11:51:01.914047
109;orange;orange;1;2;orange_7;blue_6;left;a;0;1;noeuro;510994;512739;11:51:04.671355;11:51:06.416324
110;orange;orange;1;2;orange_6;blue_5;left;a;1;0;euro;514638;516043;11:51:08.315010;11:51:09.719607
111;orange;orange;1;2;orange_9;blue_6;left;a;1;0;euro;519003;519788;11:51:12.680343;11:51:13.464888
112;orange;orange;1;2;orange_9;blue_6;left;a;1;0;euro;522551;524078;11:51:16.228171;11:51:17.755177
113;orange;orange;1;2;orange_4;blue_4;left;a;0;1;noeuro;527418;529411;11:51:21.094620;11:51:23.088017
114;orange;blue;1;2;orange_8;blue_9;right;l;1;0;noeuro;531484;532128;11:51:25.161313;11:51:25.804835
115;orange;orange;1;2;orange_1;blue_6;left;a;1;0;euro;534381;534956;11:51:28.058047;11:51:28.633644
116;orange;orange;1;2;orange_2;blue_3;left;a;1;0;euro;537185;537869;11:51:30.862394;11:51:31.546106
117;orange;orange;2;1;blue_3;orange_9;right;l;1;0;euro;540021;541358;11:51:33.698570;11:51:35.034859
118;orange;orange;2;1;blue_2;orange_1;right;l;0;1;noeuro;544072;544812;11:51:37.749770;11:51:38.489502
119;orange;blue;1;2;orange_7;blue_8;right;l;1;0;noeuro;547756;548406;11:51:41.433188;11:51:42.083196
120;orange;orange;2;1;blue_5;orange_2;right;l;1;0;euro;551717;552822;11:51:45.393848;11:51:46.499284
121;orange;orange;1;2;orange_6;blue_3;left;a;1;0;euro;555193;555650;11:51:48.870383;11:51:49.326855
122;orange;orange;2;1;blue_5;orange_2;right;l;1;0;euro;558574;559254;11:51:52.250925;11:51:52.931949
123;orange;orange;2;1;blue_3;orange_5;right;l;1;0;euro;561522;562101;11:51:55.199675;11:51:55.778815
124;orange;orange;1;2;orange_5;blue_5;left;a;1;0;euro;564686;565200;11:51:58.364004;11:51:58.876956
125;orange;orange;2;1;blue_7;orange_7;right;l;1;0;euro;567808;569520;11:52:01.486358;11:52:03.198309
