trial;more_rewarded_color;stimulus_choice;blue_position;orange_position;left_img_name;right_img_name;location_choice;keyboard_input;orange_reward;blue_reward;outcome;start_reaction_time;end_reaction_time;start_absolute_time;end_absolute_time
26;blue;orange;1;2;orange_2;blue_3;left;a;0;1;noeuro;187604;189360;11:45:41.276450;11:45:43.033099
27;blue;blue;1;2;orange_8;blue_3;right;l;1;0;noeuro;191694;193099;11:45:45.367557;11:45:46.772528
28;blue;orange;2;1;blue_6;orange_2;right;l;0;1;noeuro;195902;197209;11:45:49.574707;11:45:50.882442
29;blue;blue;2;1;blue_4;orange_2;left;a;0;1;euro;199285;200551;11:45:52.958351;11:45:54.223659
30;blue;blue;2;1;blue_8;orange_5;left;a;0;1;euro;203425;204432;11:45:57.097925;11:45:58.105093
31;blue;blue;2;1;blue_3;orange_8;left;a;0;1;euro;206542;207585;11:46:00.214985;11:46:01.257951
32;blue;blue;1;2;orange_3;blue_8;right;l;0;1;euro;209984;211866;11:46:03.657720;11:46:05.539489
33;blue;blue;2;1;blue_2;orange_9;left;a;0;1;euro;215038;216863;11:46:08.711639;11:46:10.536852
34;blue;blue;1;2;orange_4;blue_7;right;l;0;1;euro;218852;220766;11:46:12.525888;11:46:14.439342
35;blue;blue;1;2;orange_4;blue_9;right;l;0;1;euro;223276;224870;11:46:16.949048;11:46:18.543605
36;blue;blue;2;1;blue_5;orange_5;left;a;0;1;euro;226990;227997;11:46:20.663106;11:46:21.670539
37;blue;blue;1;2;orange_3;blue_4;right;l;0;1;euro;231373;232400;11:46:25.046271;11:46:26.073552
38;blue;blue;1;2;orange_4;blue_2;right;l;0;1;euro;234795;235619;11:46:28.469370;11:46:29.292412
39;blue;blue;2;1;blue_6;orange_2;left;a;0;1;euro;237588;238153;11:46:31.262136;11:46:31.827242
40;blue;blue;1;2;orange_6;blue_4;right;l;0;1;euro;241277;242358;11:46:34.950480;11:46:36.032201
41;blue;blue;2;1;blue_8;orange_9;left;a;1;0;noeuro;244453;245800;11:46:38.126766;11:46:39.473440
42;blue;blue;2;1;blue_9;orange_3;left;a;0;1;euro;249088;250172;11:46:42.761220;11:46:43.846178
43;blue;blue;2;1;blue_5;orange_7;left;a;0;1;euro;252658;253427;11:46:46.332294;11:46:47.101526
44;blue;blue;2;1;blue_7;orange_5;left;a;0;1;euro;255315;257571;11:46:48.988443;11:46:51.245490
45;blue;blue;2;1;blue_4;orange_3;left;a;0;1;euro;259802;262598;11:46:53.475395;11:46:56.271821
46;blue;blue;2;1;blue_8;orange_4;left;a;0;1;euro;265953;266983;11:46:59.626391;11:47:00.656944
47;blue;blue;2;1;blue_4;orange_4;left;a;0;1;euro;269459;270359;11:47:03.132482;11:47:04.033455
48;blue;blue;1;2;orange_1;blue_6;right;l;0;1;euro;273145;274385;11:47:06.819261;11:47:08.059590
49;blue;blue;2;1;blue_2;orange_4;left;a;0;1;euro;277394;279305;11:47:11.067766;11:47:12.979560
50;blue;blue;2;1;blue_3;orange_2;left;a;0;1;euro;282068;284126;11:47:15.741636;11:47:17.799686
