trial;more_rewarded_color;stimulus_choice;blue_position;orange_position;left_img_name;right_img_name;location_choice;keyboard_input;orange_reward;blue_reward;outcome;start_reaction_time;end_reaction_time;start_absolute_time;end_absolute_time
1;orange;blue;2;1;blue_9;orange_9;left;a;1;0;noeuro;81727;83589;11:43:55.397280;11:43:57.259774
2;orange;orange;2;1;blue_9;orange_2;right;l;0;1;noeuro;85690;86420;11:43:59.360252;11:44:00.090860
3;orange;blue;2;1;blue_3;orange_4;left;a;1;0;noeuro;88593;89379;11:44:02.263345;11:44:03.050117
4;orange;orange;1;2;orange_2;blue_7;left;a;1;0;euro;92697;94249;11:44:06.367718;11:44:07.919603
5;orange;orange;2;1;blue_7;orange_2;right;l;1;0;euro;96921;97788;11:44:10.592178;11:44:11.459636
6;orange;orange;1;2;orange_2;blue_8;left;a;1;0;euro;101074;102058;11:44:14.745144;11:44:15.728648
7;orange;orange;2;1;blue_1;orange_7;right;l;0;1;noeuro;104802;106807;11:44:18.473015;11:44:20.478524
8;orange;orange;1;2;orange_5;blue_4;left;a;1;0;euro;109142;111375;11:44:22.812970;11:44:25.046172
9;orange;orange;2;1;blue_6;orange_7;right;l;1;0;euro;114725;115614;11:44:28.396776;11:44:29.285289
10;orange;orange;1;2;orange_3;blue_7;left;a;1;0;euro;117638;119645;11:44:31.309353;11:44:33.316432
11;orange;orange;2;1;blue_5;orange_7;right;l;1;0;euro;122362;124288;11:44:36.034431;11:44:37.959470
12;orange;orange;2;1;blue_6;orange_5;right;l;1;0;euro;126284;128696;11:44:39.956053;11:44:42.367905
13;orange;orange;1;2;orange_4;blue_3;left;a;1;0;euro;131769;133885;11:44:45.440369;11:44:47.556909
14;orange;orange;2;1;blue_3;orange_7;right;l;1;0;euro;135993;137926;11:44:49.664595;11:44:51.597781
15;orange;orange;1;2;orange_8;blue_6;left;a;0;1;noeuro;140160;142435;11:44:53.832032;11:44:56.107525
16;orange;orange;2;1;blue_4;orange_3;right;l;0;1;noeuro;144581;145712;11:44:58.252824;11:44:59.384087
17;orange;blue;1;2;orange_1;blue_5;right;l;1;0;noeuro;148435;149128;11:45:02.106614;11:45:02.799695
18;orange;orange;2;1;blue_3;orange_3;right;l;1;0;euro;152134;152779;11:45:05.806643;11:45:06.451949
19;orange;orange;2;1;blue_5;orange_4;right;l;1;0;euro;155609;157112;11:45:09.280553;11:45:10.784630
20;orange;orange;2;1;blue_4;orange_1;right;l;0;1;noeuro;159792;160789;11:45:13.464277;11:45:14.460914
21;orange;orange;2;1;blue_5;orange_4;right;l;1;0;euro;163812;164617;11:45:17.483883;11:45:18.289024
22;orange;orange;1;2;orange_7;blue_5;left;a;1;0;euro;167352;168584;11:45:21.024666;11:45:22.256864
23;orange;orange;2;1;blue_7;orange_7;right;l;1;0;euro;171942;174680;11:45:25.614678;11:45:28.353323
24;orange;orange;2;1;blue_4;orange_8;right;l;1;0;euro;176777;178637;11:45:30.449595;11:45:32.309616
25;orange;orange;2;1;blue_9;orange_5;right;l;1;0;euro;182056;184669;11:45:35.727945;11:45:38.342404
