ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.54;302;397;473401;11:31:13.863875
0.56;302;397;476474;11:31:16.936881
0.55;302;397;476507;11:31:16.969841
0.56;302;397;476551;11:31:17.013102
0.54;302;397;476583;11:31:17.046179
0.55;302;397;476618;11:31:17.080990
0.55;302;397;476654;11:31:17.116937
0.54;302;396;476686;11:31:17.148888
0.57;300;395;476720;11:31:17.183047
0.59;299;395;476753;11:31:17.215566
0.56;300;395;476785;11:31:17.247862
0.58;300;395;476814;11:31:17.276901
0.57;300;395;476856;11:31:17.318754
0.58;300;395;476892;11:31:17.355225
0.55;303;398;476918;11:31:17.380760
0.51;306;400;476960;11:31:17.422996
0.49;306;400;476994;11:31:17.456908
0.49;306;400;477023;11:31:17.485827
