ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.58;307;400;205129;11:26:45.586764
0.54;309;402;208380;11:26:48.836582
0.54;309;402;208430;11:26:48.886844
0.54;309;402;208499;11:26:48.956175
0.55;309;402;208571;11:26:49.028346
0.54;309;402;208627;11:26:49.084046
0.54;309;402;208671;11:26:49.128175
0.55;309;402;208709;11:26:49.166323
0.56;309;402;208741;11:26:49.197442
0.55;308;401;208774;11:26:49.230955
0.55;308;402;208819;11:26:49.275765
0.49;312;404;208862;11:26:49.319746
0.49;312;404;208900;11:26:49.357242
0.49;312;405;208947;11:26:49.403362
0.49;312;405;208992;11:26:49.448889
