ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.52;305;399;389233;11:29:49.694149
0.56;302;396;392324;11:29:52.785286
0.55;302;396;392354;11:29:52.816115
0.55;302;397;392391;11:29:52.851971
0.55;302;397;392422;11:29:52.884038
0.56;302;397;392455;11:29:52.917008
0.54;303;397;392492;11:29:52.953050
0.52;303;397;392525;11:29:52.985987
0.55;302;397;392559;11:29:53.020669
0.53;303;397;392592;11:29:53.053063
0.56;302;397;392625;11:29:53.086380
0.59;300;394;392659;11:29:53.120481
0.59;300;394;392694;11:29:53.156159
0.58;300;394;392726;11:29:53.188226
0.58;300;395;392760;11:29:53.221125
