ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.58;297;393;569941;11:32:50.404932
0.55;300;396;572213;11:32:52.677576
0.54;300;395;572272;11:32:52.736846
0.53;300;395;572335;11:32:52.799978
0.53;300;395;572400;11:32:52.864532
0.55;299;395;572449;11:32:52.914084
0.56;299;395;572497;11:32:52.961477
0.56;299;395;572546;11:32:53.010767
0.55;299;395;572582;11:32:53.046467
0.51;302;397;572615;11:32:53.079674
0.51;302;397;572649;11:32:53.112700
0.52;302;397;572686;11:32:53.150547
0.53;302;397;572722;11:32:53.186327
0.51;302;397;572766;11:32:53.230169
0.51;302;397;572797;11:32:53.261142
0.52;302;397;572828;11:32:53.292880
0.53;302;397;572862;11:32:53.326218
0.53;302;397;572897;11:32:53.361427
0.51;302;397;572931;11:32:53.395410
0.53;301;397;572972;11:32:53.436770
0.56;300;396;573017;11:32:53.481789
0.53;301;396;573049;11:32:53.512852
0.55;300;395;573086;11:32:53.550679
0.56;300;395;573128;11:32:53.592885
0.56;300;395;573168;11:32:53.632082
0.55;300;396;573204;11:32:53.669025
0.55;299;395;573242;11:32:53.707359
0.56;299;394;573274;11:32:53.738905
0.58;298;394;573307;11:32:53.771294
0.58;298;393;573341;11:32:53.806245
0.56;298;394;573375;11:32:53.839209
0.57;298;394;573401;11:32:53.866225
0.58;298;393;573448;11:32:53.911996
0.57;298;394;573485;11:32:53.949487
0.55;298;393;573520;11:32:53.984777
0.58;297;393;573567;11:32:54.031734
0.58;297;393;573598;11:32:54.062136
0.58;297;393;573635;11:32:54.098997
0.58;297;393;573670;11:32:54.134823
0.52;302;397;573707;11:32:54.171333
0.51;302;397;573741;11:32:54.204773
0.51;302;397;573774;11:32:54.238661
0.5;302;396;573804;11:32:54.268564
0.53;301;397;573845;11:32:54.309602
0.53;301;397;573886;11:32:54.350820
0.53;301;397;573914;11:32:54.378475
0.53;301;396;573955;11:32:54.419371
0.51;302;397;573984;11:32:54.448876
0.49;303;399;574019;11:32:54.483575
0.48;303;399;574051;11:32:54.515507
