ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.58;300;395;497453;11:31:37.916302
0.57;302;398;500878;11:31:41.341058
0.56;303;398;500915;11:31:41.377909
0.54;303;398;500948;11:31:41.410344
0.55;303;398;500987;11:31:41.449875
0.54;303;398;501020;11:31:41.483099
0.54;303;398;501088;11:31:41.551300
0.54;303;398;501119;11:31:41.582204
0.56;303;398;501153;11:31:41.616645
0.55;303;398;501185;11:31:41.647827
0.51;305;400;501219;11:31:41.683082
0.48;306;401;501261;11:31:41.724176
0.49;306;400;501300;11:31:41.763081
0.51;306;401;501333;11:31:41.796815
0.51;306;401;501366;11:31:41.829010
0.51;306;401;501400;11:31:41.863146
0.51;306;401;501439;11:31:41.902375
