ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.48;311;404;227751;11:27:08.208604
0.56;308;401;230706;11:27:11.163457
0.57;307;401;230739;11:27:11.197108
0.54;308;401;230777;11:27:11.234405
0.54;308;402;230812;11:27:11.269425
0.54;308;402;230846;11:27:11.303508
0.55;308;401;230879;11:27:11.336410
0.53;308;401;230914;11:27:11.371568
0.56;307;401;230954;11:27:11.411491
0.58;306;400;230990;11:27:11.447606
0.59;305;399;231021;11:27:11.478503
0.58;306;399;231100;11:27:11.557568
0.58;306;400;231135;11:27:11.592574
0.58;306;400;231170;11:27:11.627876
0.58;306;400;231213;11:27:11.670947
0.58;306;400;231248;11:27:11.705556
0.58;306;400;231284;11:27:11.741791
0.54;310;403;231320;11:27:11.777666
0.49;312;405;231350;11:27:11.807591
