ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.57;307;400;192594;11:26:33.050633
0.55;310;403;196012;11:26:36.468826
0.53;310;403;196041;11:26:36.497883
0.53;310;403;196078;11:26:36.535513
0.53;310;403;196109;11:26:36.565536
0.53;310;403;196155;11:26:36.611622
0.53;310;402;196183;11:26:36.640584
0.53;310;403;196222;11:26:36.678605
0.52;310;402;196264;11:26:36.720471
0.51;312;405;196303;11:26:36.759861
0.51;312;404;196339;11:26:36.795271
0.51;312;405;196370;11:26:36.826655
0.51;312;404;196408;11:26:36.864695
0.49;312;404;196445;11:26:36.902678
0.51;312;405;196481;11:26:36.937697
0.54;309;402;196513;11:26:36.970608
0.59;306;400;196543;11:26:37.000778
0.57;307;400;196576;11:26:37.032725
0.59;306;400;196608;11:26:37.064558
0.58;306;400;196641;11:26:37.098297
0.57;307;400;196679;11:26:37.135516
0.57;307;400;196725;11:26:37.181654
0.57;307;400;196757;11:26:37.214394
0.57;307;400;196792;11:26:37.248854
0.58;307;400;196821;11:26:37.277469
0.52;311;403;196859;11:26:37.315402
0.49;313;405;196893;11:26:37.349642
0.49;313;405;196925;11:26:37.382153
0.49;313;405;196963;11:26:37.420498
0.49;313;405;197001;11:26:37.457446
0.48;313;405;197039;11:26:37.495790
0.48;313;405;197077;11:26:37.533779
0.52;312;405;197115;11:26:37.571666
0.48;313;405;197147;11:26:37.603659
0.47;313;405;197178;11:26:37.634611
0.49;312;405;197209;11:26:37.666526
0.46;313;405;197245;11:26:37.701527
0.51;312;405;197280;11:26:37.736690
0.48;313;405;197322;11:26:37.778581
