ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.47;314;408;186819;11:26:27.276444
0.55;311;404;189379;11:26:29.835193
0.53;311;403;189414;11:26:29.870408
0.53;311;404;189447;11:26:29.903827
0.54;311;404;189480;11:26:29.936737
0.53;311;404;189508;11:26:29.964543
0.54;311;404;189545;11:26:30.001573
0.53;311;404;189584;11:26:30.041489
0.53;311;403;189613;11:26:30.069860
0.55;309;402;189647;11:26:30.103382
0.58;308;401;189684;11:26:30.140898
0.57;308;401;189714;11:26:30.171295
0.57;308;401;189747;11:26:30.203731
0.57;308;401;189788;11:26:30.244891
0.57;308;401;189817;11:26:30.273735
0.57;308;401;189883;11:26:30.339262
0.57;308;401;189912;11:26:30.368431
0.58;308;401;189939;11:26:30.395055
0.55;310;403;189982;11:26:30.438723
