ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.54;306;400;304224;11:28:24.683347
0.58;304;398;307024;11:28:27.483567
0.57;304;399;307087;11:28:27.546975
0.57;304;398;307144;11:28:27.603637
0.58;303;398;307202;11:28:27.661277
0.55;304;398;307278;11:28:27.737771
0.57;303;397;307330;11:28:27.790209
0.59;302;396;307396;11:28:27.854641
0.59;302;396;307459;11:28:27.918887
0.59;302;396;307513;11:28:27.972649
0.58;302;396;307566;11:28:28.025559
0.59;302;396;307615;11:28:28.075086
0.59;302;396;307666;11:28:28.124769
