ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.59;301;396;338828;11:28:59.287982
0.55;304;398;341306;11:29:01.766142
0.54;304;398;341358;11:29:01.818472
0.54;304;398;341409;11:29:01.869462
0.55;304;398;341473;11:29:01.933337
0.54;304;398;341531;11:29:01.991516
0.55;304;398;341588;11:29:02.048589
0.52;307;401;341639;11:29:02.099737
0.49;308;401;341695;11:29:02.154875
0.52;307;401;341738;11:29:02.198287
0.52;307;401;341767;11:29:02.227679
0.52;307;401;341800;11:29:02.260495
0.5;307;401;341834;11:29:02.294201
