ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.51;308;402;252303;11:27:32.761714
0.54;307;400;255823;11:27:36.281528
0.55;306;400;255850;11:27:36.308280
0.57;305;399;255890;11:27:36.347920
0.57;305;399;255935;11:27:36.393480
0.57;305;399;255962;11:27:36.420496
0.55;305;399;255997;11:27:36.456085
0.57;305;399;256032;11:27:36.489725
0.57;305;400;256062;11:27:36.520136
0.57;305;399;256105;11:27:36.563256
0.57;305;399;256136;11:27:36.594411
0.58;304;398;256168;11:27:36.627079
0.59;304;398;256211;11:27:36.669144
0.58;304;398;256237;11:27:36.695133
0.58;304;398;256279;11:27:36.737513
0.59;303;398;256307;11:27:36.765740
0.57;304;398;256347;11:27:36.805568
0.58;304;398;256376;11:27:36.835077
