ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.52;304;399;378640;11:29:39.100244
0.57;301;395;381714;11:29:42.174935
0.55;301;395;381749;11:29:42.210824
0.55;301;395;381789;11:29:42.250045
0.55;301;395;381825;11:29:42.286149
0.55;301;395;381859;11:29:42.319583
0.55;301;395;381895;11:29:42.355971
0.54;302;396;381922;11:29:42.382919
0.54;302;396;381957;11:29:42.417929
0.54;302;396;381989;11:29:42.450211
0.55;302;397;382020;11:29:42.480846
0.52;304;398;382057;11:29:42.518251
0.49;305;399;382089;11:29:42.550982
0.52;305;399;382123;11:29:42.584628
0.52;305;399;382154;11:29:42.615284
0.51;305;398;382193;11:29:42.654869
0.54;304;399;382223;11:29:42.684977
0.51;305;398;382255;11:29:42.715839
0.49;305;399;382288;11:29:42.749698
0.52;305;398;382329;11:29:42.789959
0.53;304;398;382358;11:29:42.819305
0.53;304;397;382391;11:29:42.852395
