ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.49;307;401;332773;11:28:53.233532
0.54;305;398;335560;11:28:56.019801
0.55;304;398;335597;11:28:56.057097
0.53;305;399;335634;11:28:56.094896
0.54;305;398;335672;11:28:56.132854
0.54;305;398;335696;11:28:56.156206
0.55;304;398;335739;11:28:56.198538
0.55;304;398;335769;11:28:56.229378
0.56;304;398;335808;11:28:56.268549
0.55;304;398;335837;11:28:56.297431
0.53;306;400;335880;11:28:56.339284
0.49;308;401;335911;11:28:56.370711
0.49;308;401;335937;11:28:56.397454
0.49;308;401;336034;11:28:56.493939
0.52;307;401;336057;11:28:56.517872
0.52;307;401;336094;11:28:56.554093
0.52;307;401;336132;11:28:56.591452
0.51;307;400;336159;11:28:56.618536
0.54;305;399;336193;11:28:56.653859
0.57;302;396;336230;11:28:56.690496
0.58;302;396;336259;11:28:56.720125
0.58;302;396;336300;11:28:56.759837
0.58;302;396;336327;11:28:56.786924
