ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.47;314;407;183275;11:26:23.731983
0.55;311;404;185754;11:26:26.210603
0.53;312;404;185790;11:26:26.246592
0.53;312;404;185819;11:26:26.275524
0.53;312;404;185850;11:26:26.306733
0.53;312;404;185893;11:26:26.349970
0.55;311;404;185920;11:26:26.376520
0.53;312;404;185959;11:26:26.415939
0.55;310;403;185991;11:26:26.448372
0.55;310;403;186022;11:26:26.478526
0.55;310;403;186063;11:26:26.519517
0.55;310;403;186099;11:26:26.555673
0.58;309;402;186129;11:26:26.585618
0.57;309;402;186169;11:26:26.625591
0.57;309;402;186196;11:26:26.652516
0.57;309;402;186229;11:26:26.685629
0.57;309;402;186272;11:26:26.728175
0.57;309;402;186305;11:26:26.761792
0.59;308;402;186339;11:26:26.795026
0.57;309;402;186370;11:26:26.826521
0.54;312;404;186413;11:26:26.869730
0.48;315;407;186445;11:26:26.902254
0.49;315;407;186479;11:26:26.935855
0.51;314;407;186525;11:26:26.981561
0.5;314;407;186550;11:26:27.007280
0.49;314;407;186587;11:26:27.044155
0.47;315;407;186615;11:26:27.071501
0.47;315;407;186650;11:26:27.105820
0.46;315;408;186753;11:26:27.209037
0.46;315;407;186781;11:26:27.237461
