ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.52;308;402;275289;11:27:55.747518
0.55;305;399;277818;11:27:58.277614
0.54;306;399;277850;11:27:58.309214
0.54;306;399;277882;11:27:58.340525
0.52;306;399;277917;11:27:58.375751
0.54;305;399;277948;11:27:58.406435
0.57;305;399;277981;11:27:58.439385
0.57;304;398;278014;11:27:58.473116
0.58;303;397;278051;11:27:58.509423
0.58;303;397;278079;11:27:58.538687
0.57;303;397;278114;11:27:58.572657
0.58;303;397;278145;11:27:58.603885
0.58;303;397;278179;11:27:58.637758
0.58;303;397;278213;11:27:58.672400
0.57;303;397;278255;11:27:58.713461
0.59;302;396;278286;11:27:58.744901
