ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.59;300;396;531713;11:32:12.176910
0.56;302;397;534707;11:32:15.171678
0.55;301;396;534765;11:32:15.229204
0.56;301;397;534816;11:32:15.280142
0.55;301;396;534869;11:32:15.332915
0.55;301;396;534921;11:32:15.384899
0.58;299;395;534980;11:32:15.444261
0.59;299;395;535040;11:32:15.503616
0.59;299;395;535092;11:32:15.555923
0.59;299;395;535146;11:32:15.610163
0.59;299;395;535197;11:32:15.661558
0.54;302;397;535258;11:32:15.721847
