ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.49;312;405;209038;11:26:49.494990
0.58;309;403;212358;11:26:52.815386
0.54;310;403;212408;11:26:52.865584
0.54;310;404;212457;11:26:52.914398
0.52;311;404;212492;11:26:52.949172
0.53;311;404;212525;11:26:52.982144
0.54;311;404;212558;11:26:53.015067
0.53;311;403;212589;11:26:53.046120
0.57;309;402;212624;11:26:53.081119
0.58;308;401;212659;11:26:53.115882
0.59;308;401;212689;11:26:53.146094
0.59;307;401;212725;11:26:53.182140
0.59;307;401;212761;11:26:53.218190
0.59;307;400;212791;11:26:53.248068
0.59;307;400;212823;11:26:53.281098
0.61;307;400;212858;11:26:53.314933
0.59;307;401;212892;11:26:53.349942
