ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.6;303;398;256417;11:27:36.875221
0.54;305;399;258706;11:27:39.163946
0.53;306;399;258773;11:27:39.231818
0.54;306;400;258831;11:27:39.289458
0.54;306;400;258887;11:27:39.345328
0.54;306;400;258932;11:27:39.390966
0.53;308;401;258980;11:27:39.438201
0.5;309;402;259022;11:27:39.480107
0.52;308;402;259068;11:27:39.526071
0.49;309;402;259120;11:27:39.577637
0.51;308;402;259164;11:27:39.622653
0.52;308;402;259202;11:27:39.660462
0.49;309;402;259240;11:27:39.698529
0.49;309;403;259279;11:27:39.737269
0.48;309;403;259311;11:27:39.770245
0.48;309;403;259352;11:27:39.810061
0.49;309;402;259387;11:27:39.844759
0.48;309;403;259425;11:27:39.884165
