ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.59;302;396;307734;11:28:28.193173
0.54;304;398;310331;11:28:30.791098
0.53;304;398;310387;11:28:30.846248
0.54;304;398;310437;11:28:30.896295
0.53;304;398;310494;11:28:30.953643
0.54;304;398;310556;11:28:31.016161
0.52;304;397;310611;11:28:31.070811
0.55;303;397;310658;11:28:31.118405
0.53;305;399;310705;11:28:31.164968
0.49;307;401;310755;11:28:31.214417
0.47;307;401;310808;11:28:31.267737
0.49;307;401;310859;11:28:31.319217
0.48;307;401;310897;11:28:31.356838
