ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.57;301;397;535333;11:32:15.797530
0.56;303;398;538599;11:32:19.062573
0.57;302;398;538629;11:32:19.093555
0.57;302;398;538664;11:32:19.128382
0.56;302;398;538699;11:32:19.162876
0.56;302;398;538732;11:32:19.195507
0.53;303;398;538766;11:32:19.229535
0.53;303;398;538799;11:32:19.263506
0.56;302;398;538832;11:32:19.296128
0.55;303;398;538868;11:32:19.332486
0.55;303;398;538903;11:32:19.366601
0.55;303;398;538938;11:32:19.402071
0.6;299;395;538971;11:32:19.434483
0.59;299;395;539002;11:32:19.466000
0.59;299;395;539037;11:32:19.500537
0.53;304;399;539080;11:32:19.543457
0.51;305;400;539114;11:32:19.577922
0.49;305;400;539154;11:32:19.618147
0.49;305;399;539204;11:32:19.667656
