ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.53;309;400;104875;11:25:05.329299
0.53;307;400;107836;11:25:08.291455
0.54;307;399;107872;11:25:08.327329
0.53;307;399;107905;11:25:08.359790
0.54;307;399;107938;11:25:08.393016
0.54;307;399;107972;11:25:08.427526
0.52;308;400;108003;11:25:08.457653
0.53;308;399;108041;11:25:08.495348
0.54;307;399;108074;11:25:08.528846
0.54;307;400;108112;11:25:08.567601
0.52;309;400;108147;11:25:08.601790
0.48;311;403;108182;11:25:08.637289
0.48;311;403;108211;11:25:08.665827
0.49;310;403;108246;11:25:08.701087
0.48;311;403;108277;11:25:08.731612
0.48;311;403;108311;11:25:08.765350
0.49;310;403;108348;11:25:08.802416
0.48;311;403;108382;11:25:08.837466
0.48;311;403;108412;11:25:08.866482
0.47;312;404;108444;11:25:08.898911
