ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.48;305;399;420757;11:30:21.219164
0.54;300;396;423761;11:30:24.222952
0.53;301;395;423825;11:30:24.286833
0.57;300;395;423894;11:30:24.355663
0.56;301;395;423946;11:30:24.407995
0.58;299;394;424006;11:30:24.468232
0.57;299;394;424062;11:30:24.524175
0.57;299;394;424115;11:30:24.576571
0.58;299;394;424164;11:30:24.626076
0.58;299;394;424217;11:30:24.678891
0.58;299;394;424272;11:30:24.734728
0.58;299;394;424320;11:30:24.782270
0.55;300;394;424373;11:30:24.834612
0.58;299;393;424429;11:30:24.891092
