ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.47;312;405;220397;11:27:00.855058
0.54;309;402;223201;11:27:03.659209
0.54;309;402;223236;11:27:03.693833
0.58;308;402;223274;11:27:03.731663
0.54;309;402;223305;11:27:03.762513
0.54;309;402;223337;11:27:03.794350
0.54;309;402;223372;11:27:03.829567
0.55;309;403;223402;11:27:03.860387
0.54;309;403;223440;11:27:03.898086
0.57;309;403;223479;11:27:03.937257
0.55;309;402;223506;11:27:03.963176
0.53;310;402;223546;11:27:04.003783
0.54;309;403;223580;11:27:04.038210
0.59;306;400;223607;11:27:04.065203
0.62;305;400;223651;11:27:04.108349
0.59;306;399;223681;11:27:04.138340
0.59;305;399;223714;11:27:04.171084
0.59;305;399;223748;11:27:04.205425
0.61;305;399;223777;11:27:04.234715
0.59;305;399;223819;11:27:04.276520
0.59;305;399;223855;11:27:04.312059
0.59;305;399;223880;11:27:04.338418
0.6;305;399;223913;11:27:04.371002
0.59;305;400;223952;11:27:04.409864
0.59;305;399;223979;11:27:04.436564
0.59;305;399;224013;11:27:04.470307
0.6;305;399;224056;11:27:04.513422
0.59;305;400;224082;11:27:04.539410
