ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.52;306;401;450434;11:30:50.896173
0.56;303;398;453597;11:30:54.060118
0.55;303;398;453639;11:30:54.102155
0.55;303;398;453679;11:30:54.142056
0.53;304;398;453723;11:30:54.185707
0.55;303;398;453759;11:30:54.220998
0.53;304;398;453795;11:30:54.257102
0.55;303;398;453835;11:30:54.297377
0.56;303;398;453872;11:30:54.335281
0.59;301;396;453911;11:30:54.374115
0.59;301;396;453956;11:30:54.418189
0.58;301;397;453993;11:30:54.455219
0.58;301;397;454034;11:30:54.497023
