trial;more_rewarded_color;stimulus_choice;blue_position;orange_position;left_img_name;right_img_name;location_choice;keyboard_input;orange_reward;blue_reward;outcome;start_reaction_time;end_reaction_time;start_absolute_time;end_absolute_time
51;orange;orange;1;2;orange_1;blue_2;left;a;1;0;euro;267060;268056;11:27:47.518120;11:27:48.514530
52;orange;orange;2;1;blue_6;orange_8;right;l;0;1;noeuro;270311;271298;11:27:50.769067;11:27:51.756789
53;orange;blue;2;1;blue_6;orange_7;left;a;1;0;noeuro;274439;275255;11:27:54.897512;11:27:55.713226
54;orange;orange;2;1;blue_7;orange_4;right;l;1;0;euro;277785;278309;11:27:58.244225;11:27:58.767772
55;orange;orange;1;2;orange_3;blue_3;left;a;1;0;euro;281530;282370;11:28:01.989636;11:28:02.829036
56;orange;blue;1;2;orange_1;blue_2;right;l;1;0;noeuro;284978;285666;11:28:05.437319;11:28:06.124672
57;orange;orange;2;1;blue_9;orange_4;right;l;1;0;euro;288978;289709;11:28:09.436995;11:28:10.168314
58;orange;blue;2;1;blue_2;orange_7;left;a;1;0;noeuro;292060;292730;11:28:12.519747;11:28:13.189906
59;orange;orange;2;1;blue_6;orange_2;right;l;1;0;euro;296044;296644;11:28:16.503189;11:28:17.103700
60;orange;blue;1;2;orange_7;blue_7;right;l;1;0;noeuro;299946;300716;11:28:20.405041;11:28:21.175519
61;orange;orange;1;2;orange_1;blue_6;left;a;1;0;euro;303538;304204;11:28:23.996802;11:28:24.663034
62;orange;blue;1;2;orange_2;blue_8;right;l;1;0;noeuro;306941;307695;11:28:27.400041;11:28:28.154205
63;orange;orange;1;2;orange_6;blue_8;left;a;1;0;euro;310269;310914;11:28:30.729036;11:28:31.373861
64;orange;blue;2;1;blue_1;orange_2;left;a;1;0;noeuro;313013;313784;11:28:33.472750;11:28:34.243707
65;orange;blue;1;2;orange_5;blue_9;right;l;0;1;euro;316428;317173;11:28:36.887863;11:28:37.632708
66;orange;orange;2;1;blue_9;orange_4;right;l;1;0;euro;320353;321085;11:28:40.813040;11:28:41.544416
67;orange;blue;1;2;orange_3;blue_7;right;l;1;0;noeuro;324115;324845;11:28:44.575727;11:28:45.304954
68;orange;orange;1;2;orange_2;blue_4;left;a;1;0;euro;328322;328993;11:28:48.781485;11:28:49.453490
69;orange;blue;2;1;blue_3;orange_1;left;a;1;0;noeuro;332259;332753;11:28:52.718831;11:28:53.212920
70;orange;orange;2;1;blue_2;orange_6;right;l;1;0;euro;335493;336356;11:28:55.953739;11:28:56.816358
71;orange;blue;1;2;orange_6;blue_9;right;l;1;0;noeuro;338313;338800;11:28:58.773358;11:28:59.260087
72;orange;blue;2;1;blue_9;orange_6;left;a;1;0;noeuro;341247;341857;11:29:01.707345;11:29:02.317681
73;orange;blue;1;2;orange_8;blue_1;right;l;0;1;euro;344921;345529;11:29:05.381901;11:29:05.990318
74;orange;blue;1;2;orange_4;blue_8;right;l;1;0;noeuro;347891;348645;11:29:08.351494;11:29:09.105656
75;orange;orange;2;1;blue_2;orange_5;right;l;1;0;euro;351546;352605;11:29:12.006374;11:29:13.066132
