trial;more_rewarded_color;stimulus_choice;blue_position;orange_position;left_img_name;right_img_name;location_choice;keyboard_input;orange_reward;blue_reward;outcome;start_reaction_time;end_reaction_time;start_absolute_time;end_absolute_time
1;orange;orange;1;2;orange_6;blue_5;left;a;1;0;euro;79586;81850;11:24:40.040320;11:24:42.303782
2;orange;orange;2;1;blue_2;orange_1;right;l;1;0;euro;84066;85941;11:24:44.520139;11:24:46.396088
3;orange;orange;2;1;blue_8;orange_7;right;l;0;1;noeuro;88174;89323;11:24:48.628392;11:24:49.777916
4;orange;orange;1;2;orange_5;blue_5;left;a;0;1;noeuro;92127;93354;11:24:52.581735;11:24:53.808283
5;orange;blue;1;2;orange_7;blue_6;right;l;1;0;noeuro;95866;96876;11:24:56.320421;11:24:57.330848
6;orange;orange;2;1;blue_5;orange_2;right;l;1;0;euro;99000;100462;11:24:59.454470;11:25:00.916880
7;orange;orange;2;1;blue_2;orange_9;right;l;1;0;euro;103486;104851;11:25:03.940323;11:25:05.305518
8;orange;blue;2;1;blue_4;orange_2;left;a;1;0;noeuro;107803;108467;11:25:08.257518;11:25:08.921374
9;orange;orange;1;2;orange_9;blue_8;left;a;1;0;euro;111737;112898;11:25:12.192096;11:25:13.353216
10;orange;orange;2;1;blue_4;orange_2;right;l;1;0;euro;115309;116012;11:25:15.763906;11:25:16.467869
11;orange;orange;2;1;blue_3;orange_1;right;l;1;0;euro;118870;120033;11:25:19.324362;11:25:20.487945
12;orange;orange;2;1;blue_9;orange_3;right;l;1;0;euro;122068;122974;11:25:22.523290;11:25:23.429498
13;orange;orange;2;1;blue_7;orange_2;right;l;1;0;euro;126103;126827;11:25:26.557903;11:25:27.282352
14;orange;orange;2;1;blue_4;orange_6;right;l;1;0;euro;129350;130255;11:25:29.804990;11:25:30.710414
15;orange;orange;2;1;blue_1;orange_2;right;l;1;0;euro;133366;134072;11:25:33.820966;11:25:34.527035
16;orange;blue;2;1;blue_5;orange_7;left;a;1;0;noeuro;137031;138393;11:25:37.486511;11:25:38.848133
17;orange;orange;2;1;blue_8;orange_7;right;l;1;0;euro;141166;141838;11:25:41.621713;11:25:42.293970
18;orange;orange;1;2;orange_1;blue_2;left;a;0;1;noeuro;144193;145300;11:25:44.648433;11:25:45.755457
19;orange;orange;1;2;orange_3;blue_9;left;a;1;0;euro;147602;148891;11:25:48.057479;11:25:49.346952
20;orange;orange;2;1;blue_1;orange_8;right;l;1;0;euro;150910;152170;11:25:51.366346;11:25:52.625727
21;orange;orange;2;1;blue_3;orange_4;right;l;1;0;euro;154686;155964;11:25:55.141746;11:25:56.420201
22;orange;orange;1;2;orange_9;blue_7;left;a;1;0;euro;158824;159800;11:25:59.279634;11:26:00.256203
23;orange;orange;1;2;orange_2;blue_2;left;a;0;1;noeuro;162615;163384;11:26:03.071855;11:26:03.839780
24;orange;orange;1;2;orange_6;blue_7;left;a;0;1;noeuro;166733;167619;11:26:07.189466;11:26:08.075937
25;orange;orange;2;1;blue_6;orange_9;right;l;1;0;euro;170459;171282;11:26:10.915359;11:26:11.738023
