trial;more_rewarded_color;stimulus_choice;blue_position;orange_position;left_img_name;right_img_name;location_choice;keyboard_input;orange_reward;blue_reward;outcome;start_reaction_time;end_reaction_time;start_absolute_time;end_absolute_time
126;blue;orange;1;2;orange_5;blue_3;left;a;0;1;noeuro;521657;522259;11:32:02.120494;11:32:02.722796
127;blue;blue;2;1;blue_8;orange_2;left;a;1;0;noeuro;525388;525915;11:32:05.851596;11:32:06.378360
128;blue;blue;1;2;orange_9;blue_7;right;l;0;1;euro;528330;528864;11:32:08.794350;11:32:09.328233
129;blue;blue;1;2;orange_3;blue_5;right;l;0;1;euro;531030;531681;11:32:11.493084;11:32:12.145516
130;blue;blue;1;2;orange_7;blue_1;right;l;1;0;noeuro;534589;535298;11:32:15.053327;11:32:15.761599
131;blue;orange;1;2;orange_7;blue_5;left;a;0;1;noeuro;538563;539231;11:32:19.026662;11:32:19.694658
132;blue;orange;2;1;blue_9;orange_9;right;l;1;0;euro;541965;542864;11:32:22.429050;11:32:23.328075
133;blue;orange;2;1;blue_9;orange_7;right;l;0;1;noeuro;546184;546723;11:32:26.648509;11:32:27.187174
134;blue;blue;2;1;blue_1;orange_8;left;a;1;0;noeuro;549240;549817;11:32:29.704260;11:32:30.281633
135;blue;orange;2;1;blue_2;orange_2;right;l;0;1;noeuro;552335;555520;11:32:32.798948;11:32:35.984340
136;blue;blue;2;1;blue_1;orange_6;left;a;0;1;euro;558884;559682;11:32:39.348249;11:32:40.146900
137;blue;blue;2;1;blue_3;orange_9;left;a;0;1;euro;561941;562475;11:32:42.405900;11:32:42.940236
138;blue;orange;1;2;orange_1;blue_3;left;a;0;1;noeuro;564738;565462;11:32:45.202297;11:32:45.926635
139;blue;orange;2;1;blue_3;orange_6;right;l;0;1;noeuro;568621;569918;11:32:49.085260;11:32:50.382639
140;blue;blue;2;1;blue_2;orange_9;left;a;1;0;noeuro;572160;574075;11:32:52.624858;11:32:54.540006
141;blue;blue;1;2;orange_5;blue_4;right;l;0;1;euro;576719;577312;11:32:57.183073;11:32:57.776598
142;blue;blue;1;2;orange_9;blue_1;right;l;0;1;euro;580679;581200;11:33:01.143673;11:33:01.664321
143;blue;blue;1;2;orange_1;blue_6;right;l;1;0;noeuro;583732;584831;11:33:04.196435;11:33:05.295628
144;blue;blue;2;1;blue_2;orange_4;left;a;0;1;euro;588192;589218;11:33:08.656868;11:33:09.682412
145;blue;blue;2;1;blue_5;orange_9;left;a;1;0;noeuro;591436;592045;11:33:11.901036;11:33:12.509969
146;blue;orange;2;1;blue_6;orange_4;right;l;0;1;noeuro;594846;595915;11:33:15.311399;11:33:16.380552
147;blue;orange;1;2;orange_8;blue_1;left;a;0;1;noeuro;599103;599740;11:33:19.568693;11:33:20.205484
148;blue;blue;1;2;orange_3;blue_5;right;l;1;0;noeuro;601981;602738;11:33:22.446730;11:33:23.203764
149;blue;orange;1;2;orange_2;blue_9;left;a;0;1;noeuro;605877;606580;11:33:26.342078;11:33:27.045466
150;blue;orange;1;2;orange_6;blue_3;left;a;0;1;noeuro;608759;609293;11:33:29.224752;11:33:29.757728
