trial;more_rewarded_color;stimulus_choice;blue_position;orange_position;left_img_name;right_img_name;location_choice;keyboard_input;orange_reward;blue_reward;outcome;start_reaction_time;end_reaction_time;start_absolute_time;end_absolute_time
26;blue;orange;2;1;blue_4;orange_5;right;l;1;0;euro;174358;175118;11:26:14.814435;11:26:15.573726
27;blue;orange;2;1;blue_4;orange_2;right;l;0;1;noeuro;178488;179036;11:26:18.945168;11:26:19.492099
28;blue;orange;1;2;orange_5;blue_9;left;a;0;1;noeuro;182525;183253;11:26:22.981525;11:26:23.709379
29;blue;orange;1;2;orange_3;blue_7;left;a;0;1;noeuro;185721;186800;11:26:26.178211;11:26:27.257150
30;blue;orange;2;1;blue_5;orange_9;right;l;0;1;noeuro;189335;189995;11:26:29.791670;11:26:30.451877
31;blue;orange;2;1;blue_1;orange_3;right;l;0;1;noeuro;191915;192563;11:26:32.372368;11:26:33.020654
32;blue;blue;2;1;blue_6;orange_4;left;a;0;1;euro;195976;197339;11:26:36.432805;11:26:37.796500
33;blue;blue;1;2;orange_8;blue_8;right;l;0;1;euro;200449;201680;11:26:40.906074;11:26:42.137628
34;blue;orange;2;1;blue_1;orange_2;right;l;0;1;noeuro;204211;205099;11:26:44.668470;11:26:45.555629
35;blue;orange;1;2;orange_4;blue_9;left;a;0;1;noeuro;208323;209014;11:26:48.779928;11:26:49.471533
36;blue;blue;1;2;orange_3;blue_8;right;l;0;1;euro;212297;212912;11:26:52.754318;11:26:53.369709
37;blue;orange;2;1;blue_1;orange_8;right;l;0;1;noeuro;215862;216575;11:26:56.319492;11:26:57.032401
38;blue;orange;1;2;orange_5;blue_3;left;a;0;1;noeuro;219661;220374;11:27:00.118867;11:27:00.831350
39;blue;blue;1;2;orange_6;blue_5;right;l;0;1;euro;223174;224103;11:27:03.631199;11:27:04.560611
40;blue;orange;1;2;orange_9;blue_8;left;a;0;1;noeuro;226934;227723;11:27:07.391842;11:27:08.181311
41;blue;orange;2;1;blue_2;orange_8;right;l;1;0;euro;230671;231372;11:27:11.127906;11:27:11.830246
42;blue;orange;1;2;orange_7;blue_9;left;a;0;1;noeuro;234442;235314;11:27:14.899719;11:27:15.772034
43;blue;orange;2;1;blue_4;orange_6;right;l;1;0;euro;238634;239302;11:27:19.091600;11:27:19.759897
44;blue;blue;2;1;blue_6;orange_6;left;a;0;1;euro;241213;242306;11:27:21.670645;11:27:22.764581
45;blue;orange;2;1;blue_4;orange_2;right;l;0;1;noeuro;245115;245744;11:27:25.572902;11:27:26.202457
46;blue;blue;2;1;blue_4;orange_6;left;a;0;1;euro;248056;248835;11:27:28.514615;11:27:29.293042
47;blue;blue;2;1;blue_4;orange_6;left;a;1;0;noeuro;251457;252284;11:27:31.914921;11:27:32.742355
48;blue;orange;2;1;blue_1;orange_5;right;l;0;1;noeuro;255787;256398;11:27:36.245399;11:27:36.856782
49;blue;blue;2;1;blue_3;orange_5;left;a;0;1;euro;258648;259473;11:27:39.106689;11:27:39.931258
50;blue;orange;1;2;orange_8;blue_2;left;a;1;0;euro;262746;263627;11:27:43.204348;11:27:44.085314
